fname,ptype,exhaustive,mode,exists
poland_czestochowa_2020_kiedrzyn.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_kiedrzyn.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_lisiniec.pb,cardinal_standard,True,priceable,True
poland_czestochowa_2020_lisiniec.pb,cardinal_times_cost,True,priceable,True
poland_czestochowa_2020_mirow.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_podjasnogorska.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_podjasnogorska.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_polnoc.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_polnoc.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_stradom.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_stradom.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_trzech-wieszczow.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_trzech-wieszczow.pb,cardinal_times_cost,True,priceable,False
poland_czestochowa_2020_wyczerpy-aniolow.pb,cardinal_standard,True,priceable,False
poland_czestochowa_2020_wyczerpy-aniolow.pb,cardinal_times_cost,True,priceable,False
poland_gdansk_2020_kokoszki.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_matarnia.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_olszynka.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_olszynka.pb,cardinal_times_cost,True,priceable,False
poland_gdansk_2020_orunia-sw-wojciech-lipce.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_orunia-sw-wojciech-lipce.pb,cardinal_times_cost,True,priceable,False
poland_gdansk_2020_siedlce.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_siedlce.pb,cardinal_times_cost,True,priceable,False
poland_gdansk_2020_wzgorze-mickiewicza.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_wzgorze-mickiewicza.pb,cardinal_times_cost,True,priceable,False
poland_gdansk_2020_zabianka-wejhera-jelitkowo-tysiaclecia.pb,cardinal_standard,True,priceable,False
poland_gdansk_2020_zabianka-wejhera-jelitkowo-tysiaclecia.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_bogucice.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_bogucice.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_dab.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_dab.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_dabrowka-mala.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_koszutka.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_osiedle-paderewskiego-muchowiec.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_osiedle-paderewskiego-muchowiec.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_srodmiescie.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_srodmiescie.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_szopienice-burowiec.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_szopienice-burowiec.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_welnowiec-jozefowiec.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_zaleze.pb,cardinal_standard,True,priceable,False
poland_katowice_2020_zaleze.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2020_zarzecze.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_bogucice.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_bogucice.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_koszutka.pb,cardinal_standard,True,priceable,True
poland_katowice_2021_osiedle-paderewskiego-muchowiec.pb,cardinal_standard,True,priceable,True
poland_katowice_2021_osiedle-paderewskiego-muchowiec.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_szopienice-burowiec.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_szopienice-burowiec.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_welnowiec-jozefowiec.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_welnowiec-jozefowiec.pb,cardinal_times_cost,True,priceable,False
poland_lodz_2022_lagiewniki.pb,approval_times_cost,True,priceable,False
poland_wroclaw_2016_rejon-nr-13-250.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_grzybowice.pb,approval_times_cost,True,priceable,False
