fname,ptype,exhaustive,mode,exists
poland_czestochowa_2020_czestochowka-parkitka.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_dzbow.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_kiedrzyn.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_kiedrzyn.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_lisiniec.pb,cardinal_standard,True,stable priceable,True
poland_czestochowa_2020_lisiniec.pb,cardinal_times_cost,True,stable priceable,True
poland_czestochowa_2020_mirow.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_mirow.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_podjasnogorska.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_podjasnogorska.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_polnoc.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_polnoc.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_stare-miasto.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_stare-miasto.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_stradom.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_stradom.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_trzech-wieszczow.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_trzech-wieszczow.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_tysiaclecie.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_tysiaclecie.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_wrzosowiak.pb,cardinal_times_cost,True,stable priceable,False
poland_czestochowa_2020_wyczerpy-aniolow.pb,cardinal_standard,True,stable priceable,False
poland_czestochowa_2020_wyczerpy-aniolow.pb,cardinal_times_cost,True,stable priceable,False
poland_gdansk_2020_bretowo.pb,cardinal_standard,True,stable priceable,False
poland_gdansk_2020_bretowo.pb,cardinal_times_cost,True,stable priceable,False
poland_gdansk_2020_kokoszki.pb,cardinal_standard,True,stable priceable,False
poland_gdansk_2020_matarnia.pb,cardinal_standard,True,stable priceable,False
poland_gdansk_2020_olszynka.pb,cardinal_standard,True,stable priceable,False
poland_gdansk_2020_olszynka.pb,cardinal_times_cost,True,stable priceable,False
