fname,res_type,ptype,method,res
france_toulouse_2019_.pb,exhaustive,cardinal_standard,MES,not exhaustive
france_toulouse_2019_.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
france_toulouse_2019_.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
france_toulouse_2019_.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_standard,MES,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
france_toulouse_2019_.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
france_toulouse_2019_.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
france_toulouse_2019_.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
france_toulouse_2019_.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
france_toulouse_2019_.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_bleszno.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_times_cost,MES,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_times_cost,MES_INC,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_czestochowka-parkitka.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_dzbow.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES_INC,priceable
poland_czestochowa_2020_dzbow.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
